ACC,Localization
WP_092055769.1,Cytoplasmic
WP_092055772.1,Cytoplasmic
WP_092055774.1,Cytoplasmic
WP_092055778.1,Cytoplasmic
WP_092055780.1,Cytoplasmic Membrane
WP_092055783.1,Cytoplasmic
WP_092055785.1,Cytoplasmic
WP_092055788.1,Outer Membrane
WP_092055793.1,Cytoplasmic
WP_092055799.1,Cytoplasmic
WP_092055803.1,Cytoplasmic
WP_092055806.1,Cytoplasmic Membrane
WP_092055809.1,Cytoplasmic
WP_092055813.1,Cytoplasmic
WP_092055818.1,Cytoplasmic
WP_092055821.1,Cytoplasmic
WP_092055823.1,Cytoplasmic
WP_092055825.1,Cytoplasmic
WP_092055827.1,Cytoplasmic
WP_092055829.1,Cytoplasmic
WP_092055833.1,Cytoplasmic
WP_092055837.1,Cytoplasmic
WP_092055839.1,Cytoplasmic Membrane
WP_092055841.1,Cytoplasmic Membrane
WP_092055844.1,Cytoplasmic
WP_092055848.1,Cytoplasmic
WP_092055850.1,Cytoplasmic
WP_092055852.1,Cytoplasmic
WP_092055857.1,Periplasmic
WP_092055860.1,Cytoplasmic
WP_092055864.1,Cytoplasmic
WP_092055866.1,Cytoplasmic
WP_092055868.1,Cytoplasmic
WP_092055872.1,Cytoplasmic
WP_092055876.1,Cytoplasmic
WP_092055879.1,Cytoplasmic Membrane
WP_092055883.1,Cytoplasmic
WP_092055886.1,Cytoplasmic
WP_092055888.1,Cytoplasmic
WP_092055891.1,Cytoplasmic
WP_092055894.1,Cytoplasmic
WP_092055898.1,Cytoplasmic
WP_092055903.1,Cytoplasmic
WP_092055907.1,Cytoplasmic
WP_092055910.1,Cytoplasmic
WP_092055913.1,Cytoplasmic
WP_092055915.1,Cytoplasmic
WP_092055918.1,Cytoplasmic
WP_092055922.1,Cytoplasmic
WP_092055925.1,Cytoplasmic
WP_092055930.1,Cytoplasmic Membrane
WP_092055934.1,Cytoplasmic
WP_092055938.1,Cytoplasmic
WP_092055941.1,Cytoplasmic Membrane
WP_092055944.1,Cytoplasmic
WP_092055948.1,Cytoplasmic
WP_092055951.1,Cytoplasmic
WP_092055954.1,Cytoplasmic
WP_092055958.1,Cytoplasmic
WP_092055961.1,Cytoplasmic
WP_092055964.1,Cytoplasmic
WP_092055971.1,Cytoplasmic
WP_092055974.1,Cytoplasmic
WP_092055976.1,Cytoplasmic
WP_092055979.1,Cytoplasmic
WP_092055982.1,Cytoplasmic
WP_092055984.1,Cytoplasmic
WP_092055987.1,Cytoplasmic
WP_092055990.1,Cytoplasmic
WP_092055993.1,Cytoplasmic
WP_092055994.1,Cytoplasmic
WP_092055997.1,Cytoplasmic
WP_092055999.1,Cytoplasmic
WP_092056002.1,Cytoplasmic
WP_092056005.1,Cytoplasmic
WP_092056007.1,Cytoplasmic Membrane
WP_092056011.1,Cytoplasmic
WP_092056015.1,Cytoplasmic
WP_092056020.1,Periplasmic
WP_092056022.1,Cytoplasmic Membrane
WP_092056025.1,Extracellular
WP_092056027.1,Cytoplasmic
WP_092056030.1,Outer Membrane
WP_092056034.1,Cytoplasmic
WP_092056049.1,Periplasmic
WP_092056057.1,Cytoplasmic Membrane
WP_092056062.1,Cytoplasmic
WP_092056066.1,Cytoplasmic
WP_092056069.1,Cytoplasmic
WP_092056072.1,Cytoplasmic
WP_092056076.1,Cytoplasmic
WP_092056079.1,Cytoplasmic
WP_092056081.1,Cytoplasmic
WP_092056087.1,Cytoplasmic
WP_092056094.1,Periplasmic
WP_092056100.1,Cytoplasmic
WP_092056103.1,Cytoplasmic
WP_092056105.1,Cytoplasmic
WP_092056109.1,Outer Membrane
WP_092056111.1,Cytoplasmic
WP_092056116.1,Cytoplasmic Membrane
WP_092056118.1,Cytoplasmic
WP_092056121.1,Cytoplasmic
WP_092056124.1,Cytoplasmic
WP_092056128.1,Cytoplasmic
WP_092056130.1,Cytoplasmic
WP_092056134.1,Cytoplasmic
WP_092056137.1,Cytoplasmic
WP_092056140.1,Cytoplasmic
WP_092056144.1,Cytoplasmic
WP_092056146.1,Cytoplasmic
WP_092056150.1,Outer Membrane
WP_092056156.1,Cytoplasmic Membrane
WP_092056159.1,Cytoplasmic Membrane
WP_092056161.1,Cytoplasmic
WP_092056164.1,Cytoplasmic Membrane
WP_092056166.1,Cytoplasmic
WP_092056168.1,Cytoplasmic Membrane
WP_092056170.1,Cytoplasmic Membrane
WP_092056175.1,Cytoplasmic
WP_092056179.1,Cytoplasmic
WP_092056182.1,Cytoplasmic
WP_092056187.1,Cytoplasmic
WP_092056192.1,Cytoplasmic
WP_092056193.1,Cytoplasmic
WP_092056198.1,Cytoplasmic
WP_092056201.1,Cytoplasmic
WP_092056203.1,Cytoplasmic
WP_092056205.1,Cytoplasmic Membrane
WP_092056208.1,Cytoplasmic
WP_092056210.1,Cytoplasmic
WP_092056216.1,Cytoplasmic Membrane
WP_092056219.1,Cytoplasmic
WP_092056225.1,Outer Membrane
WP_092056227.1,Cytoplasmic Membrane
WP_092056230.1,Cytoplasmic Membrane
WP_092056232.1,Cytoplasmic Membrane
WP_092056234.1,Cytoplasmic
WP_092056237.1,Cytoplasmic Membrane
WP_092056239.1,Cytoplasmic Membrane
WP_092056242.1,Extracellular
WP_092056244.1,Extracellular
WP_092056248.1,Cytoplasmic
WP_092056249.1,Cytoplasmic
WP_092056252.1,Cytoplasmic
WP_092056253.1,Cytoplasmic
WP_092056256.1,Periplasmic
WP_092056258.1,Cytoplasmic Membrane
WP_092056261.1,Outer Membrane
WP_092056267.1,Cytoplasmic Membrane
WP_092056271.1,Cytoplasmic
WP_092056277.1,Cytoplasmic
WP_092056280.1,Cytoplasmic
WP_092056281.1,Cytoplasmic Membrane
WP_092056283.1,Cytoplasmic
WP_092056285.1,Cytoplasmic Membrane
WP_092056288.1,Cytoplasmic
WP_092056290.1,Cytoplasmic Membrane
WP_092056292.1,Cytoplasmic Membrane
WP_092056294.1,Cytoplasmic
WP_092056296.1,Cytoplasmic Membrane
WP_092056301.1,Cytoplasmic Membrane
WP_092056303.1,Cytoplasmic Membrane
WP_092056306.1,Cytoplasmic Membrane
WP_092056309.1,Cytoplasmic Membrane
WP_092056310.1,Cytoplasmic
WP_092056312.1,Cytoplasmic
WP_092056314.1,Cytoplasmic Membrane
WP_092056316.1,Cytoplasmic Membrane
WP_092056318.1,Cytoplasmic
WP_092056320.1,Cytoplasmic
WP_092056322.1,Cytoplasmic
WP_092056324.1,Cytoplasmic
WP_092056326.1,Cytoplasmic
WP_092056330.1,Cytoplasmic
WP_092056332.1,Cytoplasmic
WP_092056334.1,Cytoplasmic
WP_092056336.1,Periplasmic
WP_092056338.1,Cytoplasmic
WP_092056340.1,Cytoplasmic
WP_092056342.1,Cytoplasmic
WP_092056343.1,Cytoplasmic
WP_092056345.1,Cytoplasmic
WP_092056346.1,Cytoplasmic
WP_092056348.1,Cytoplasmic Membrane
WP_092056350.1,Cytoplasmic Membrane
WP_092056352.1,Cytoplasmic Membrane
WP_092056354.1,Cytoplasmic
WP_092056356.1,Cytoplasmic Membrane
WP_092056359.1,Cytoplasmic Membrane
WP_092056361.1,Cytoplasmic Membrane
WP_092056362.1,Cytoplasmic Membrane
WP_092056364.1,Cytoplasmic
WP_092056365.1,Cytoplasmic
WP_092056367.1,Cytoplasmic
WP_092056370.1,Cytoplasmic
WP_092056380.1,Cytoplasmic
WP_092056388.1,Cytoplasmic
WP_092056389.1,Cytoplasmic
WP_092056391.1,Cytoplasmic
WP_092056394.1,Cytoplasmic
WP_092056396.1,Extracellular
WP_092056405.1,Periplasmic
WP_092056409.1,Cytoplasmic
WP_092056413.1,Cytoplasmic
WP_092056415.1,Cytoplasmic
WP_092056416.1,Cytoplasmic
WP_092056418.1,Cytoplasmic Membrane
WP_092056420.1,Cytoplasmic Membrane
WP_092056421.1,Cytoplasmic Membrane
WP_092056422.1,Cytoplasmic Membrane
WP_092056424.1,Cytoplasmic
WP_092056427.1,Cytoplasmic
WP_092056431.1,Periplasmic
WP_092056432.1,Periplasmic
WP_092056434.1,Cytoplasmic
WP_092056435.1,Cytoplasmic
WP_092056437.1,Cytoplasmic Membrane
WP_092056442.1,Cytoplasmic
WP_092056444.1,Cytoplasmic
WP_092056445.1,Cytoplasmic
WP_092056447.1,Cytoplasmic Membrane
WP_092056456.1,Outer Membrane
WP_092056458.1,Cytoplasmic
WP_092056460.1,Cytoplasmic
WP_092056462.1,Cytoplasmic
WP_092056464.1,Cytoplasmic
WP_092056466.1,Cytoplasmic
WP_092056467.1,Cytoplasmic
WP_092056471.1,Cytoplasmic
WP_092056473.1,Cytoplasmic
WP_092056476.1,Extracellular
WP_092056480.1,Cytoplasmic
WP_092056486.1,Cytoplasmic
WP_092056487.1,Cytoplasmic
WP_092056489.1,Cytoplasmic
WP_092056491.1,Cytoplasmic
WP_092056492.1,Cytoplasmic Membrane
WP_092056494.1,Cytoplasmic
WP_092056496.1,Cytoplasmic Membrane
WP_092056497.1,Cytoplasmic
WP_092056499.1,Cytoplasmic
WP_092056500.1,Cytoplasmic
WP_092056502.1,Periplasmic
WP_092056510.1,Outer Membrane
WP_092056512.1,Cytoplasmic Membrane
WP_092056516.1,Cytoplasmic
WP_092056534.1,Cytoplasmic
WP_092056535.1,Cytoplasmic
WP_092056537.1,Cytoplasmic
WP_092056538.1,Cytoplasmic
WP_092056540.1,Cytoplasmic
WP_092056542.1,Cytoplasmic
WP_092056545.1,Cytoplasmic
WP_092056550.1,Cytoplasmic
WP_092056553.1,Cytoplasmic
WP_092056555.1,Cytoplasmic Membrane
WP_092056556.1,Periplasmic
WP_092056560.1,Extracellular
WP_092056562.1,Cytoplasmic
WP_092056563.1,Cytoplasmic
WP_092056567.1,Cytoplasmic
WP_092056568.1,Cytoplasmic
WP_092056571.1,Extracellular
WP_092056573.1,Cytoplasmic
WP_092056574.1,Cytoplasmic
WP_092056576.1,Cytoplasmic
WP_092056578.1,Cytoplasmic
WP_092056580.1,Cytoplasmic
WP_092056582.1,Cytoplasmic
WP_092056583.1,Cytoplasmic
WP_092056585.1,Cytoplasmic
WP_092056586.1,Cytoplasmic
WP_092056588.1,Cytoplasmic Membrane
WP_092056589.1,Cytoplasmic Membrane
WP_092056591.1,Cytoplasmic
WP_092056593.1,Periplasmic
WP_092056594.1,Cytoplasmic
WP_092056596.1,Cytoplasmic
WP_092056597.1,Cytoplasmic
WP_092056599.1,Cytoplasmic
WP_092056601.1,Cytoplasmic
WP_092056603.1,Cytoplasmic
WP_092056607.1,Cytoplasmic
WP_092058201.1,Cytoplasmic Membrane
WP_092058203.1,Cytoplasmic Membrane
WP_092058205.1,Cytoplasmic
WP_092058209.1,Cytoplasmic
WP_092058211.1,Cytoplasmic Membrane
WP_092058213.1,Cytoplasmic
WP_092058216.1,Cytoplasmic
WP_092058218.1,Cytoplasmic
WP_092058220.1,Cytoplasmic
WP_092058222.1,Cytoplasmic
WP_092058224.1,Cytoplasmic
WP_092058226.1,Cytoplasmic
WP_092058228.1,Cytoplasmic
WP_092058230.1,Cytoplasmic
WP_092058232.1,Cytoplasmic Membrane
WP_092058235.1,Cytoplasmic
WP_092058238.1,Cytoplasmic
WP_092058240.1,Cytoplasmic
WP_092058242.1,Cytoplasmic
WP_092058243.1,Cytoplasmic
WP_092058245.1,Cytoplasmic
WP_092058247.1,Periplasmic
WP_092058251.1,Cytoplasmic Membrane
WP_092058253.1,Cytoplasmic
WP_092058255.1,Cytoplasmic
WP_092058257.1,Cytoplasmic
WP_092058259.1,Cytoplasmic
WP_092058261.1,Cytoplasmic
WP_092058263.1,Cytoplasmic
WP_092058265.1,Cytoplasmic
WP_092058267.1,Cytoplasmic
WP_092058271.1,Periplasmic
WP_092058273.1,Outer Membrane
WP_092058275.1,Periplasmic
WP_092058277.1,Cytoplasmic Membrane
WP_092058279.1,Cytoplasmic Membrane
WP_092058281.1,Cytoplasmic Membrane
WP_092058284.1,Cytoplasmic
WP_092058287.1,Cytoplasmic
WP_092058289.1,Cytoplasmic Membrane
WP_092058292.1,Cytoplasmic Membrane
WP_092058294.1,Cytoplasmic Membrane
WP_092058296.1,Cytoplasmic Membrane
WP_092058298.1,Cytoplasmic Membrane
WP_092058300.1,Cytoplasmic Membrane
WP_092058302.1,Cytoplasmic
WP_092058305.1,Periplasmic
WP_092058307.1,Cytoplasmic
WP_092058309.1,Cytoplasmic
WP_092058312.1,Cytoplasmic Membrane
WP_092058314.1,Cytoplasmic
WP_092058316.1,Cytoplasmic
WP_092058319.1,Cytoplasmic
WP_092058321.1,Cytoplasmic Membrane
WP_092058323.1,Cytoplasmic
WP_092058326.1,Cytoplasmic
WP_092058328.1,Cytoplasmic Membrane
WP_092058331.1,Cytoplasmic Membrane
WP_092058333.1,Cytoplasmic
WP_092058336.1,Cytoplasmic
WP_092058338.1,Cytoplasmic
WP_092058340.1,Cytoplasmic
WP_092058343.1,Cytoplasmic Membrane
WP_092058345.1,Cytoplasmic
WP_092058347.1,Cytoplasmic
WP_092058351.1,Cytoplasmic
WP_092058357.1,Cytoplasmic
WP_092058362.1,Cytoplasmic
WP_092058364.1,Cytoplasmic
WP_092058370.1,Cytoplasmic Membrane
WP_092058377.1,Cytoplasmic
WP_092058379.1,Cytoplasmic
WP_092058381.1,Cytoplasmic
WP_092058383.1,Cytoplasmic Membrane
WP_092058385.1,Cytoplasmic Membrane
WP_092058387.1,Cytoplasmic Membrane
WP_092058390.1,Cytoplasmic Membrane
WP_092058391.1,Cytoplasmic
WP_092058393.1,Cytoplasmic
WP_092058396.1,Cytoplasmic Membrane
WP_092058398.1,Cytoplasmic
WP_092058400.1,Cytoplasmic
WP_092058404.1,Cytoplasmic
WP_092058408.1,Cytoplasmic Membrane
WP_092058413.1,Cytoplasmic
WP_092058415.1,Cytoplasmic
WP_092058416.1,Cytoplasmic
WP_092058418.1,Cytoplasmic
WP_092058420.1,Cytoplasmic
WP_092058422.1,Cytoplasmic
WP_092058424.1,Cytoplasmic
WP_092058426.1,Cytoplasmic
WP_092058428.1,Cytoplasmic
WP_092058430.1,Cytoplasmic
WP_092058434.1,Cytoplasmic
WP_092058436.1,Periplasmic
WP_092058438.1,Cytoplasmic
WP_092058440.1,Cytoplasmic Membrane
WP_092058442.1,Cytoplasmic
WP_092058444.1,Cytoplasmic
WP_092058446.1,Cytoplasmic
WP_092058448.1,Cytoplasmic
WP_092058450.1,Cytoplasmic
WP_092058452.1,Cytoplasmic Membrane
WP_092058456.1,Cytoplasmic
WP_092058458.1,Cytoplasmic
WP_092058460.1,Cytoplasmic
WP_092058462.1,Cytoplasmic
WP_092058466.1,Cytoplasmic Membrane
WP_092058468.1,Cytoplasmic
WP_092058470.1,Cytoplasmic
WP_092058472.1,Cytoplasmic
WP_092058474.1,Cytoplasmic
WP_092058476.1,Cytoplasmic
WP_092058478.1,Cytoplasmic
WP_092058480.1,Cytoplasmic
WP_092058482.1,Cytoplasmic
WP_092058484.1,Cytoplasmic
WP_092058486.1,Cytoplasmic
WP_092058488.1,Cytoplasmic
WP_092058490.1,Cytoplasmic
WP_092058492.1,Cytoplasmic Membrane
WP_092058494.1,Cytoplasmic
WP_092058496.1,Cytoplasmic
WP_092058500.1,Periplasmic
WP_092058502.1,Cytoplasmic
WP_092058504.1,Cytoplasmic
WP_092058506.1,Cytoplasmic
WP_092058507.1,Cytoplasmic
WP_092058509.1,Outer Membrane
WP_092058515.1,Cytoplasmic Membrane
WP_092058519.1,Periplasmic
WP_092058521.1,Periplasmic
WP_092058523.1,Cytoplasmic
WP_092058525.1,Cytoplasmic
WP_092058527.1,Cytoplasmic Membrane
WP_092058529.1,Cytoplasmic Membrane
WP_092058531.1,Cytoplasmic
WP_092058533.1,Cytoplasmic
WP_092058535.1,Cytoplasmic
WP_092058538.1,Cytoplasmic
WP_092058540.1,Cytoplasmic
WP_092058542.1,Cytoplasmic
WP_092058544.1,Cytoplasmic
WP_092058546.1,Cytoplasmic
WP_092058550.1,Cytoplasmic Membrane
WP_092058554.1,Extracellular
WP_092058556.1,Periplasmic
WP_092058558.1,Cytoplasmic
WP_092058562.1,Cytoplasmic Membrane
WP_092058567.1,Cytoplasmic
WP_092058571.1,Cytoplasmic
WP_092058573.1,Cytoplasmic Membrane
WP_092058577.1,Cytoplasmic Membrane
WP_092058579.1,Cytoplasmic Membrane
WP_092058581.1,Cytoplasmic
WP_092058583.1,Outer Membrane
WP_092058585.1,Cytoplasmic
WP_092058587.1,Cytoplasmic
WP_092058588.1,Periplasmic
WP_092058590.1,Cytoplasmic
WP_092058592.1,Cytoplasmic
WP_092058596.1,Cytoplasmic
WP_092058598.1,Cytoplasmic
WP_092058601.1,Cytoplasmic
WP_092058603.1,Cytoplasmic Membrane
WP_092058605.1,Cytoplasmic
WP_092058607.1,Cytoplasmic
WP_092058611.1,Cytoplasmic
WP_092058613.1,Cytoplasmic
WP_092058615.1,Cytoplasmic
WP_092058617.1,Cytoplasmic
WP_092058619.1,Cytoplasmic Membrane
WP_092058621.1,Cytoplasmic
WP_092058623.1,Cytoplasmic
WP_092058625.1,Cytoplasmic
WP_092058627.1,Cytoplasmic Membrane
WP_092058629.1,Cytoplasmic
WP_092058631.1,Cytoplasmic
WP_092058635.1,Cytoplasmic Membrane
WP_092058637.1,Cytoplasmic Membrane
WP_092058639.1,Periplasmic
WP_092058641.1,Cytoplasmic Membrane
WP_092058645.1,Extracellular
WP_092058647.1,Cytoplasmic
WP_092058649.1,Cytoplasmic Membrane
WP_092058651.1,Outer Membrane
WP_092058663.1,Cytoplasmic Membrane
WP_092058668.1,Cytoplasmic Membrane
WP_092058675.1,Cytoplasmic
WP_092058677.1,Cytoplasmic
WP_092058679.1,Cytoplasmic Membrane
WP_092058681.1,Cytoplasmic Membrane
WP_092058683.1,Cytoplasmic
WP_092058685.1,Cytoplasmic
WP_092058687.1,Cytoplasmic Membrane
WP_092058689.1,Cytoplasmic Membrane
WP_092058691.1,Cytoplasmic
WP_092058693.1,Cytoplasmic
WP_092058696.1,Cytoplasmic Membrane
WP_092058698.1,Cytoplasmic
WP_092058700.1,Cytoplasmic
WP_092058702.1,Cytoplasmic
WP_092058704.1,Cytoplasmic
WP_092058708.1,Cytoplasmic
WP_092058710.1,Cytoplasmic
WP_092058712.1,Cytoplasmic
WP_092058714.1,Periplasmic
WP_092058721.1,Cytoplasmic
WP_092058723.1,Cytoplasmic
WP_092058725.1,Cytoplasmic
WP_092058728.1,Cytoplasmic Membrane
WP_092058730.1,Cytoplasmic
WP_092058732.1,Cytoplasmic
WP_092058734.1,Cytoplasmic
WP_092058736.1,Cytoplasmic
WP_092058738.1,Cytoplasmic
WP_092058740.1,Cytoplasmic
WP_092058742.1,Cytoplasmic Membrane
WP_092058744.1,Cytoplasmic Membrane
WP_092058746.1,Periplasmic
WP_092058748.1,Cytoplasmic Membrane
WP_092058750.1,Cytoplasmic Membrane
WP_092058752.1,Cytoplasmic
WP_092058754.1,Cytoplasmic
WP_092058756.1,Cytoplasmic
WP_092058758.1,Cytoplasmic
WP_092058762.1,Cytoplasmic
WP_092058764.1,Periplasmic
WP_092058766.1,Cytoplasmic
WP_092058768.1,Cytoplasmic
WP_092058770.1,Cytoplasmic
WP_092058772.1,Cytoplasmic
WP_092058774.1,Cytoplasmic
WP_092058778.1,Cytoplasmic
WP_092058780.1,Cytoplasmic
WP_092058782.1,Cytoplasmic
WP_092058783.1,Cytoplasmic
WP_092058785.1,Cytoplasmic
WP_092058787.1,Extracellular
WP_092058791.1,Cytoplasmic
WP_092058793.1,Cytoplasmic Membrane
WP_092058795.1,Cytoplasmic Membrane
WP_092058797.1,Cytoplasmic
WP_092058799.1,Cytoplasmic Membrane
WP_092058801.1,Cytoplasmic Membrane
WP_092058802.1,Cytoplasmic
